id,armed,armed_factor,age,gender,race,white,black,hispanic,asian,native,other,city,state,signs_of_mental_illness,mental_illness,threat_level,attack,flee,flee_factor,body_camera,bodycam
38,gun,1,71,M,White,1,0,0,0,0,0,England,AR,FALSE,0,attack,1,Not fleeing,0,FALSE,0
325,gun,1,33,M,Hispanic,0,0,1,0,0,0,El Paso,TX,FALSE,0,attack,1,Not fleeing,0,FALSE,0
42,gun,1,39,M,White,1,0,0,0,0,0,Arcola,IL,TRUE,1,attack,1,Not fleeing,0,FALSE,0
43,gun,1,23,M,Hispanic,0,0,1,0,0,0,South Gate,CA,FALSE,0,attack,1,Not fleeing,0,FALSE,0
45,gun,1,29,M,Hispanic,0,0,1,0,0,0,North Las Vegas,NV,FALSE,0,attack,1,Foot,1,FALSE,0
46,gun,1,34,M,White,1,0,0,0,0,0,Albuquerque,NM,FALSE,0,attack,1,Foot,1,TRUE,1
48,knife,1,43,M,White,1,0,0,0,0,0,Jourdanton,TX,TRUE,1,other,0,Not fleeing,0,FALSE,0
49,unknown,1,24,M,Black,0,1,0,0,0,0,St. Paul,MN,FALSE,0,attack,1,Not fleeing,0,FALSE,0
50,unknown,1,29,M,White,1,0,0,0,0,0,Franklin County,MO,FALSE,0,attack,1,Not fleeing,0,FALSE,0
51,gun,1,34,M,Black,0,1,0,0,0,0,Chesapeake,VA,TRUE,1,attack,1,Not fleeing,0,FALSE,0
52,knife,1,75,M,White,1,0,0,0,0,0,Old Bridge,NJ,FALSE,0,attack,1,Not fleeing,0,FALSE,0
54,gun,1,68,M,White,1,0,0,0,0,0,Lake Jackson,TX,FALSE,0,attack,1,Not fleeing,0,FALSE,0
55,knife,1,34,M,White,1,0,0,0,0,0,Draper,UT,FALSE,0,attack,1,Not fleeing,0,TRUE,1
56,gun,1,27,M,Black,0,1,0,0,0,0,Indianapolis,IN,FALSE,0,attack,1,Foot,1,FALSE,0
57,gun,1,39,M,Black,0,1,0,0,0,0,Aurora,CO,FALSE,0,attack,1,Not fleeing,0,FALSE,0
60,gun,1,24,M,White,1,0,0,0,0,0,Bloomington,MN,TRUE,1,attack,1,Not fleeing,0,FALSE,0
63,knife,1,36,M,Hispanic,0,0,1,0,0,0,Fairfield,CA,TRUE,1,other,0,Not fleeing,0,FALSE,0
64,gun,1,33,M,White,1,0,0,0,0,0,Evangeline Parish,LA,FALSE,0,attack,1,Not fleeing,0,FALSE,0
67,gun,1,41,M,White,1,0,0,0,0,0,Mabank,TX,FALSE,0,attack,1,Car,1,FALSE,0
68,knife,1,48,M,Other,0,0,0,0,0,1,Fremont,CA,FALSE,0,other,0,Not fleeing,0,FALSE,0
74,gun,1,21,M,Black,0,1,0,0,0,0,Muskogee,OK,FALSE,0,attack,1,Foot,1,TRUE,1
75,gun,1,24,M,Hispanic,0,0,1,0,0,0,Los Angeles,CA,FALSE,0,attack,1,Not fleeing,0,FALSE,0
78,knife,1,27,M,Hispanic,0,0,1,0,0,0,Fort Worth,TX,FALSE,0,attack,1,Not fleeing,0,FALSE,0
80,gun,1,32,M,White,1,0,0,0,0,0,Maricopa,AZ,TRUE,1,attack,1,Not fleeing,0,FALSE,0
83,gun,1,67,M,White,1,0,0,0,0,0,Gunlock,KY,TRUE,1,attack,1,Not fleeing,0,FALSE,0
84,knife,1,49,M,White,1,0,0,0,0,0,Weymouth,MA,FALSE,0,attack,1,Not fleeing,0,FALSE,0
85,unknown,1,42,M,Black,0,1,0,0,0,0,Scottsdale,AZ,FALSE,0,other,0,Car,1,FALSE,0
86,gun,1,36,M,White,1,0,0,0,0,0,Hemet,CA,FALSE,0,attack,1,Not fleeing,0,FALSE,0
88,gun,1,36,M,Hispanic,0,0,1,0,0,0,Chapeno,TX,FALSE,0,attack,1,Foot,1,FALSE,0
90,gun,1,19,M,Black,0,1,0,0,0,0,St. Louis,MO,FALSE,0,attack,1,Not fleeing,0,FALSE,0
98,gun,1,54,M,White,1,0,0,0,0,0,Derry,NH,TRUE,1,attack,1,Not fleeing,0,FALSE,0
99,toy weapon,1,25,M,Black,0,1,0,0,0,0,Sierra Blanca,TX,FALSE,0,attack,1,Car,1,FALSE,0
100,knife,1,17,F,White,1,0,0,0,0,0,Longview,TX,TRUE,1,other,0,Not fleeing,0,FALSE,0
101,unknown,1,29,M,Black,0,1,0,0,0,0,Fort Lauderdale,FL,FALSE,0,other,0,Not fleeing,0,FALSE,0
102,knife,1,56,M,Hispanic,0,0,1,0,0,0,Levelland,TX,FALSE,0,other,0,Not fleeing,0,FALSE,0
336,gun,1,61,M,White,1,0,0,0,0,0,Austin,TX,TRUE,1,attack,1,Not fleeing,0,FALSE,0
105,gun,1,45,M,White,1,0,0,0,0,0,Rexburg,ID,FALSE,0,attack,1,Not fleeing,0,FALSE,0
107,knife,1,26,M,Black,0,1,0,0,0,0,Baltimore,MD,TRUE,1,other,0,Not fleeing,0,FALSE,0
341,gun,1,40,M,White,1,0,0,0,0,0,Fort Worth,TX,FALSE,0,attack,1,Not fleeing,0,FALSE,0
108,gun,1,26,M,Hispanic,0,0,1,0,0,0,Pueblo,CO,FALSE,0,attack,1,Car,1,FALSE,0
20,unknown,1,17,F,Hispanic,0,0,1,0,0,0,Denver,CO,FALSE,0,other,0,Not fleeing,0,FALSE,0
324,gun,1,68,M,White,1,0,0,0,0,0,New Hope,MN,TRUE,1,attack,1,Not fleeing,0,FALSE,0
352,unarmed,0,24,M,Hispanic,0,0,1,0,0,0,Tahoka,TX,FALSE,0,other,0,Car,1,FALSE,0
353,knife,1,34,M,Hispanic,0,0,1,0,0,0,Wasco,CA,TRUE,1,other,0,Not fleeing,0,FALSE,0
111,knife,1,39,F,White,1,0,0,0,0,0,Omaha,NE,TRUE,1,attack,1,Not fleeing,0,FALSE,0
348,unknown,1,26,M,Native,0,0,0,0,1,0,Phoenix,AZ,FALSE,0,other,0,Not fleeing,0,FALSE,0
349,gun,1,29,M,White,1,0,0,0,0,0,Morenci,AZ,FALSE,0,attack,1,Not fleeing,0,FALSE,0
350,gun,1,33,M,Black,0,1,0,0,0,0,Columbus,OH,FALSE,0,attack,1,Not fleeing,0,FALSE,0
345,gun,1,45,M,White,1,0,0,0,0,0,Sunset,TX,FALSE,0,attack,1,Not fleeing,0,FALSE,0
347,gun,1,26,M,White,1,0,0,0,0,0,Rosenberg,TX,FALSE,0,attack,1,Not fleeing,0,FALSE,0
346,hammer,1,35,M,Asian,0,0,0,1,0,0,Stockton,CA,TRUE,1,attack,1,Not fleeing,0,FALSE,0
112,gun,1,31,M,White,1,0,0,0,0,0,Wyoming,MI,TRUE,1,attack,1,Not fleeing,0,FALSE,0
342,unarmed,0,42,M,White,1,0,0,0,0,0,Stillwater,OK,FALSE,0,other,0,Foot,1,FALSE,0
113,gun,1,48,M,White,1,0,0,0,0,0,Billings,MT,FALSE,0,attack,1,Foot,1,FALSE,0
338,gun,1,31,M,Hispanic,0,0,1,0,0,0,Houston,TX,FALSE,0,attack,1,Not fleeing,0,FALSE,0
339,knife,1,54,M,Black,0,1,0,0,0,0,Randallstown,MD,TRUE,1,other,0,Not fleeing,0,FALSE,0
114,unarmed,0,59,M,White,1,0,0,0,0,0,Hummelstown,PA,FALSE,0,other,0,Foot,1,FALSE,0
115,gun,1,42,M,White,1,0,0,0,0,0,Apple Valley,CA,TRUE,1,attack,1,Not fleeing,0,FALSE,0
528,gun,1,17,M,White,1,0,0,0,0,0,Bay City,MI,FALSE,0,attack,1,Not fleeing,0,FALSE,0
117,gun,1,23,M,Black,0,1,0,0,0,0,St. Louis,MO,FALSE,0,attack,1,Foot,1,FALSE,0
118,gun,1,38,F,Black,0,1,0,0,0,0,Emeryville,CA,FALSE,0,attack,1,Car,1,FALSE,0
119,knife,1,29,M,Black,0,1,0,0,0,0,Antioch,CA,TRUE,1,other,0,Not fleeing,0,FALSE,0
120,gun,1,45,M,White,1,0,0,0,0,0,Douglas,GA,TRUE,1,attack,1,Not fleeing,0,FALSE,0
116,unarmed,0,28,M,Black,0,1,0,0,0,0,Tallahassee,FL,FALSE,0,attack,1,Not fleeing,0,FALSE,0
123,gun,1,37,M,Hispanic,0,0,1,0,0,0,Orlando,FL,FALSE,0,attack,1,Not fleeing,0,FALSE,0
124,gun,1,28,M,Hispanic,0,0,1,0,0,0,Tempe,AZ,FALSE,0,attack,1,Car,1,FALSE,0
125,unarmed,0,28,M,Hispanic,0,0,1,0,0,0,Tempe,AZ,FALSE,0,other,0,Not fleeing,0,FALSE,0
126,gun,1,51,M,Black,0,1,0,0,0,0,Lorena,TX,FALSE,0,attack,1,Car,1,FALSE,0
127,knife,1,36,M,Black,0,1,0,0,0,0,Memphis,TN,FALSE,0,other,0,Not fleeing,0,FALSE,0
128,gun,1,59,M,White,1,0,0,0,0,0,Chino,CA,FALSE,0,other,0,Car,1,FALSE,0
129,gun,1,25,M,Black,0,1,0,0,0,0,Oklahoma City,OK,FALSE,0,attack,1,Not fleeing,0,FALSE,0
532,toy weapon,1,26,M,White,1,0,0,0,0,0,Calimesa,CA,FALSE,0,attack,1,Not fleeing,0,FALSE,0
554,gun,1,74,M,Black,0,1,0,0,0,0,Gastonia,NC,FALSE,0,attack,1,Not fleeing,0,FALSE,0
131,gun,1,33,M,White,1,0,0,0,0,0,Anchorage,AK,FALSE,0,attack,1,Car,1,FALSE,0
132,gun,1,27,M,White,1,0,0,0,0,0,Austin,TX,FALSE,0,attack,1,Not fleeing,0,FALSE,0
133,gun,1,57,M,White,1,0,0,0,0,0,New City,NY,TRUE,1,attack,1,Not fleeing,0,FALSE,0
134,gun,1,46,M,White,1,0,0,0,0,0,Orange County,FL,FALSE,0,attack,1,Not fleeing,0,FALSE,0
135,gun,1,41,M,White,1,0,0,0,0,0,Nocona,TX,FALSE,0,attack,1,Not fleeing,0,FALSE,0
136,gun,1,61,M,White,1,0,0,0,0,0,Smyrna,ME,TRUE,1,undetermined,0,Not fleeing,0,FALSE,0
137,gun,1,45,M,Black,0,1,0,0,0,0,Dallas,TX,FALSE,0,attack,1,Not fleeing,0,FALSE,0
139,gun,1,49,M,Black,0,1,0,0,0,0,Whitehaven,TN,FALSE,0,attack,1,Not fleeing,0,FALSE,0
140,gun,1,45,M,White,1,0,0,0,0,0,New Castle,CO,TRUE,1,attack,1,Car,1,FALSE,0
138,unarmed,0,35,M,Hispanic,0,0,1,0,0,0,Pasco,WA,TRUE,1,other,0,Foot,1,FALSE,0
141,knife,1,23,M,Black,0,1,0,0,0,0,San Jose,CA,TRUE,1,other,0,Not fleeing,0,FALSE,0
142,toy weapon,1,46,M,White,1,0,0,0,0,0,Dadeville,AL,TRUE,1,attack,1,Foot,1,TRUE,1
145,unknown,1,23,M,White,1,0,0,0,0,0,San Bernardino,CA,FALSE,0,attack,1,Car,1,FALSE,0
146,gun,1,21,M,Hispanic,0,0,1,0,0,0,Kansas City,KS,FALSE,0,attack,1,Car,1,FALSE,0
147,unarmed,0,35,M,Hispanic,0,0,1,0,0,0,Reading,PA,FALSE,0,other,0,Not fleeing,0,FALSE,0
148,gun,1,27,M,White,1,0,0,0,0,0,McLemoresville,TN,FALSE,0,attack,1,Not fleeing,0,FALSE,0
154,knife,1,37,M,Hispanic,0,0,1,0,0,0,San Manuel,AZ,TRUE,1,other,0,Not fleeing,0,FALSE,0
149,gun,1,16,M,White,1,0,0,0,0,0,Essex,MD,TRUE,1,attack,1,Car,1,FALSE,0
155,gun,1,51,M,White,1,0,0,0,0,0,Laredo,TX,FALSE,0,attack,1,Not fleeing,0,FALSE,0
151,gun,1,34,M,White,1,0,0,0,0,0,Iuka,MS,FALSE,0,attack,1,Foot,1,FALSE,0
153,hatchet,1,34,M,White,1,0,0,0,0,0,Colton,OR,TRUE,1,other,0,Not fleeing,0,FALSE,0
150,unarmed,0,25,M,Black,0,1,0,0,0,0,Miami Gardens,FL,TRUE,1,other,0,Not fleeing,0,FALSE,0
156,gun,1,56,M,White,1,0,0,0,0,0,Marana,AZ,FALSE,0,attack,1,Not fleeing,0,FALSE,0
157,gun,1,26,M,White,1,0,0,0,0,0,Boise,ID,FALSE,0,attack,1,Not fleeing,0,FALSE,0
158,toy weapon,1,24,M,White,1,0,0,0,0,0,Provo,UT,TRUE,1,attack,1,Not fleeing,0,FALSE,0
130,gun,1,43,F,White,1,0,0,0,0,0,Gaston County,NC,FALSE,0,attack,1,Not fleeing,0,FALSE,0
159,unarmed,0,31,M,White,1,0,0,0,0,0,Springfield,MO,FALSE,0,other,0,Foot,1,FALSE,0
160,gun,1,32,M,White,1,0,0,0,0,0,Eaton Rapids Township,MI,FALSE,0,attack,1,Not fleeing,0,FALSE,0
161,toy weapon,1,30,M,White,1,0,0,0,0,0,Tewksbury,MA,FALSE,0,attack,1,Foot,1,FALSE,0
162,unknown,1,50,M,Hispanic,0,0,1,0,0,0,Del Rio,TX,FALSE,0,other,0,Not fleeing,0,FALSE,0
163,unknown,1,20,F,Black,0,1,0,0,0,0,Charlotte,NC,TRUE,1,other,0,Not fleeing,0,FALSE,0
165,unarmed,0,31,M,Hispanic,0,0,1,0,0,0,Euless,TX,FALSE,0,other,0,Not fleeing,0,FALSE,0
166,gun,1,38,M,Black,0,1,0,0,0,0,Homewood,AL,FALSE,0,attack,1,Not fleeing,0,FALSE,0
255,gun,1,77,M,Black,0,1,0,0,0,0,Birmingham,AL,TRUE,1,attack,1,Not fleeing,0,FALSE,0
584,gun,1,37.1179309,M,Hispanic,0,0,1,0,0,0,Houston,TX,FALSE,0,attack,1,Car,1,FALSE,0
167,gun,1,41,M,White,1,0,0,0,0,0,Ruidoso,NM,FALSE,0,attack,1,Not fleeing,0,FALSE,0
168,knife,1,51,M,White,1,0,0,0,0,0,Indianapolis,IN,FALSE,0,attack,1,Not fleeing,0,FALSE,0
170,gun,1,50,M,White,1,0,0,0,0,0,Palm Bay,FL,FALSE,0,attack,1,Not fleeing,0,FALSE,0
172,gun,1,47,M,White,1,0,0,0,0,0,Denham Springs,LA,TRUE,1,attack,1,Not fleeing,0,FALSE,0
174,knife,1,37,M,White,1,0,0,0,0,0,Powder Springs,GA,FALSE,0,other,0,Not fleeing,0,FALSE,0
175,gun,1,41,M,White,1,0,0,0,0,0,Clarkesville,GA,FALSE,0,attack,1,Foot,1,FALSE,0
176,gun,1,16,M,Black,0,1,0,0,0,0,Millbrook,AL,FALSE,0,attack,1,Not fleeing,0,FALSE,0
266,knife,1,42,M,White,1,0,0,0,0,0,Allentown,PA,FALSE,0,attack,1,Car,1,FALSE,0
371,unarmed,0,39,M,White,1,0,0,0,0,0,Omaha,NE,FALSE,0,other,0,Not fleeing,0,FALSE,0
177,knife,1,30,M,White,1,0,0,0,0,0,Green Bay,WI,TRUE,1,attack,1,Not fleeing,0,FALSE,0
178,unknown,1,27,M,Black,0,1,0,0,0,0,Oklahoma City,OK,FALSE,0,other,0,Car,1,FALSE,0
179,gun,1,43,M,White,1,0,0,0,0,0,Las Vegas,NV,TRUE,1,attack,1,Not fleeing,0,FALSE,0
181,gun,1,42,M,Hispanic,0,0,1,0,0,0,Lakeland,FL,FALSE,0,attack,1,Foot,1,FALSE,0
182,knife,1,21,M,Hispanic,0,0,1,0,0,0,San Francisco,CA,FALSE,0,other,0,Not fleeing,0,FALSE,0
183,unarmed,0,49,M,White,1,0,0,0,0,0,Gulfport,MS,FALSE,0,other,0,Not fleeing,0,FALSE,0
184,gun,1,34,F,White,1,0,0,0,0,0,Sylvester,GA,FALSE,0,attack,1,Car,1,FALSE,0
180,unarmed,0,31,M,White,1,0,0,0,0,0,Terre Haute,IN,FALSE,0,other,0,Not fleeing,0,FALSE,0
185,unarmed,0,27,M,Hispanic,0,0,1,0,0,0,Santa Ana,CA,FALSE,0,undetermined,0,Not fleeing,0,FALSE,0
186,gun,1,24,M,White,1,0,0,0,0,0,Pelzer,SC,FALSE,0,attack,1,Not fleeing,0,FALSE,0
188,unarmed,0,34,M,Black,0,1,0,0,0,0,St Louis,MO,FALSE,0,other,0,Car,1,FALSE,0
189,knife,1,28,F,Hispanic,0,0,1,0,0,0,Tucson,AZ,FALSE,0,other,0,Not fleeing,0,FALSE,0
190,gun,1,28,M,Black,0,1,0,0,0,0,Columbia,MO,FALSE,0,attack,1,Car,1,FALSE,0
191,gun,1,40,M,Black,0,1,0,0,0,0,Tarboro,NC,TRUE,1,attack,1,Car,1,FALSE,0
192,gun,1,37,F,White,1,0,0,0,0,0,La Paz County,AZ,FALSE,0,attack,1,Car,1,FALSE,0
187,unarmed,0,17,M,White,1,0,0,0,0,0,Roxand Township,MI,FALSE,0,attack,1,Not fleeing,0,TRUE,1
195,gun,1,35,M,Asian,0,0,0,1,0,0,Houston,TX,FALSE,0,attack,1,Not fleeing,0,FALSE,0
268,gun,1,49,M,White,1,0,0,0,0,0,Barton,MS,FALSE,0,attack,1,Not fleeing,0,FALSE,0
194,unarmed,0,43,M,Black,0,1,0,0,0,0,Los Angeles,CA,TRUE,1,attack,1,Not fleeing,0,TRUE,1
196,gun,1,20,M,Black,0,1,0,0,0,0,Joilet,IL,FALSE,0,other,0,Foot,1,FALSE,0
197,gun,1,25,M,Black,0,1,0,0,0,0,Salisbury,MD,FALSE,0,attack,1,Not fleeing,0,FALSE,0
198,knife,1,25,M,White,1,0,0,0,0,0,Tempe,AZ,FALSE,0,attack,1,Not fleeing,0,FALSE,0
199,unarmed,0,26,M,White,1,0,0,0,0,0,Deltona,FL,FALSE,0,other,0,Not fleeing,0,FALSE,0
249,gun,1,28,M,Asian,0,0,0,1,0,0,Stockton,CA,FALSE,0,attack,1,Not fleeing,0,FALSE,0
200,knife,1,45,M,Black,0,1,0,0,0,0,Milwaukee,WI,TRUE,1,other,0,Not fleeing,0,FALSE,0
201,unarmed,0,36,M,Hispanic,0,0,1,0,0,0,Burbank,CA,FALSE,0,other,0,Car,1,FALSE,0
202,gun,1,34,M,White,1,0,0,0,0,0,Lincoln,NE,FALSE,0,attack,1,Not fleeing,0,FALSE,0
203,unarmed,0,19,M,Black,0,1,0,0,0,0,Madison,WI,FALSE,0,attack,1,Foot,1,FALSE,0
269,unarmed,0,37,M,Black,0,1,0,0,0,0,Aurora,CO,FALSE,0,undetermined,0,Foot,1,FALSE,0
270,unknown,1,48,M,Black,0,1,0,0,0,0,Putnam Hall,FL,FALSE,0,other,0,Not fleeing,0,FALSE,0
271,gun,1,29,M,White,1,0,0,0,0,0,Phoenix,AZ,FALSE,0,attack,1,Not fleeing,0,FALSE,0
204,knife,1,43,F,Black,0,1,0,0,0,0,Anaheim,CA,TRUE,1,other,0,Not fleeing,0,TRUE,1
272,gun,1,40,M,Hispanic,0,0,1,0,0,0,Oklahoma City,OK,FALSE,0,attack,1,Not fleeing,0,FALSE,0
273,unknown,1,35,M,White,1,0,0,0,0,0,Claymont,DE,FALSE,0,attack,1,Car,1,FALSE,0
205,unarmed,0,27,M,Black,0,1,0,0,0,0,Atlanta,GA,TRUE,1,other,0,Not fleeing,0,FALSE,0
274,gun,1,58,M,White,1,0,0,0,0,0,Brevard,NC,FALSE,0,attack,1,Not fleeing,0,FALSE,0
275,gun,1,46,M,White,1,0,0,0,0,0,Dinosaur,CO,FALSE,0,attack,1,Not fleeing,0,FALSE,0
276,gun,1,30,M,Black,0,1,0,0,0,0,Cocoa,FL,FALSE,0,attack,1,Not fleeing,0,FALSE,0
206,gun,1,64,M,Black,0,1,0,0,0,0,Cleveland,OH,FALSE,0,attack,1,Not fleeing,0,TRUE,1
278,gun,1,31,M,Black,0,1,0,0,0,0,Baton Rouge,LA,FALSE,0,attack,1,Not fleeing,0,FALSE,0
536,knife,1,23,M,White,1,0,0,0,0,0,Port Wentworth,GA,FALSE,0,attack,1,Not fleeing,0,TRUE,1
883,sword,1,37,M,Hispanic,0,0,1,0,0,0,Ontario,CA,TRUE,1,other,0,Car,1,FALSE,0
248,unknown,1,37,M,Black,0,1,0,0,0,0,Elkton,MD,FALSE,0,other,0,Not fleeing,0,FALSE,0
277,gun,1,31,M,White,1,0,0,0,0,0,Memphis,TN,TRUE,1,attack,1,Not fleeing,0,FALSE,0
279,gun,1,39,M,Hispanic,0,0,1,0,0,0,Santa Ana,CA,FALSE,0,attack,1,Not fleeing,0,FALSE,0
281,toy weapon,1,31,M,White,1,0,0,0,0,0,Kingman,AZ,TRUE,1,attack,1,Not fleeing,0,FALSE,0
307,gun,1,54,M,White,1,0,0,0,0,0,Bay Minette,AL,FALSE,0,attack,1,Not fleeing,0,FALSE,0
581,gun,1,53,M,White,1,0,0,0,0,0,Hoover,AL,TRUE,1,attack,1,Not fleeing,0,FALSE,0
796,unknown,1,25,M,Hispanic,0,0,1,0,0,0,Los Angeles,CA,FALSE,0,other,0,Not fleeing,0,FALSE,0
282,unarmed,0,35,M,Black,0,1,0,0,0,0,Washington,DC,TRUE,1,other,0,Not fleeing,0,FALSE,0
207,gun,1,41,M,Hispanic,0,0,1,0,0,0,Napa,CA,FALSE,0,other,0,Other,1,FALSE,0
283,gun,1,59,M,White,1,0,0,0,0,0,Kansas City,MO,FALSE,0,attack,1,Not fleeing,0,FALSE,0
289,knife,1,36,M,White,1,0,0,0,0,0,Fontana,CA,FALSE,0,attack,1,Not fleeing,0,FALSE,0
351,unarmed,0,32,M,Hispanic,0,0,1,0,0,0,Walnut Creek,CA,FALSE,0,other,0,Foot,1,FALSE,0
208,knife,1,53,M,White,1,0,0,0,0,0,Follansbee,WV,FALSE,0,other,0,Not fleeing,0,FALSE,0
209,gun,1,26,M,White,1,0,0,0,0,0,Kenosha,WI,FALSE,0,attack,1,Car,1,FALSE,0
287,gun,1,29,M,Hispanic,0,0,1,0,0,0,San Antonio,TX,TRUE,1,attack,1,Not fleeing,0,FALSE,0
210,machete,1,27,M,White,1,0,0,0,0,0,Ruth,MS,FALSE,0,other,0,Not fleeing,0,FALSE,0
212,gun,1,28,M,White,1,0,0,0,0,0,St. Paul,MN,TRUE,1,attack,1,Not fleeing,0,FALSE,0
213,gun,1,52,M,White,1,0,0,0,0,0,Gastonia,NC,TRUE,1,attack,1,Not fleeing,0,FALSE,0
216,gun,1,49,M,White,1,0,0,0,0,0,Medford,OR,TRUE,1,attack,1,Not fleeing,0,FALSE,0
217,gun,1,24,M,White,1,0,0,0,0,0,Dublin,NC,FALSE,0,attack,1,Foot,1,FALSE,0
221,unknown,1,24,F,White,1,0,0,0,0,0,San Francisco,CA,TRUE,1,other,0,Not fleeing,0,FALSE,0
290,gun,1,20,M,White,1,0,0,0,0,0,Onalaska,TX,TRUE,1,attack,1,Not fleeing,0,FALSE,0
292,unarmed,0,22,M,Hispanic,0,0,1,0,0,0,Sacramento,CA,FALSE,0,undetermined,0,Car,1,FALSE,0
225,gun,1,49,F,White,1,0,0,0,0,0,Glendale,AZ,FALSE,0,attack,1,Not fleeing,0,FALSE,0
226,gun,1,64,M,White,1,0,0,0,0,0,Tallahassee,FL,FALSE,0,attack,1,Not fleeing,0,FALSE,0
294,knife,1,47,M,White,1,0,0,0,0,0,Bakersfield,CA,FALSE,0,other,0,Not fleeing,0,FALSE,0
228,box cutter,1,39,M,White,1,0,0,0,0,0,Lawrence County,AL,TRUE,1,other,0,Not fleeing,0,TRUE,1
229,unarmed,0,18,M,Black,0,1,0,0,0,0,Cleveland,OH,FALSE,0,attack,1,Not fleeing,0,FALSE,0
230,gun,1,31,M,White,1,0,0,0,0,0,Middleton,ID,FALSE,0,attack,1,Not fleeing,0,TRUE,1
265,gun,1,16,M,Black,0,1,0,0,0,0,Jacksonville,FL,FALSE,0,attack,1,Car,1,FALSE,0
295,unarmed,0,20,M,White,1,0,0,0,0,0,Sumas,WA,TRUE,1,attack,1,Not fleeing,0,FALSE,0
306,gun,1,36,M,White,1,0,0,0,0,0,Bakersfield,CA,FALSE,0,attack,1,Not fleeing,0,FALSE,0
308,machete,1,63,M,Black,0,1,0,0,0,0,New Orleans,LA,TRUE,1,attack,1,Not fleeing,0,FALSE,0
310,gun,1,34,M,White,1,0,0,0,0,0,Coal County,OK,FALSE,0,attack,1,Not fleeing,0,FALSE,0
531,gun,1,24,M,Native,0,0,0,0,1,0,Red Valley,AZ,FALSE,0,attack,1,Car,1,FALSE,0
235,gun,1,21,M,White,1,0,0,0,0,0,Cottonwood,AZ,FALSE,0,attack,1,Not fleeing,0,FALSE,0
309,gun,1,44,M,White,1,0,0,0,0,0,Clarendon,NY,FALSE,0,attack,1,Car,1,FALSE,0
311,gun,1,60,M,White,1,0,0,0,0,0,Harmony,IN,TRUE,1,attack,1,Not fleeing,0,FALSE,0
312,gun,1,42,M,White,1,0,0,0,0,0,Columbus,OH,FALSE,0,attack,1,Not fleeing,0,FALSE,0
231,knife,1,37,M,White,1,0,0,0,0,0,Vallejo,CA,TRUE,1,other,0,Not fleeing,0,FALSE,0
233,knife,1,36,M,White,1,0,0,0,0,0,Portland,OR,TRUE,1,other,0,Foot,1,FALSE,0
234,unknown,1,21,M,Black,0,1,0,0,0,0,Islip,NY,FALSE,0,attack,1,Car,1,FALSE,0
237,gun,1,24,M,Black,0,1,0,0,0,0,Santa Clara,CA,FALSE,0,attack,1,Not fleeing,0,FALSE,0
238,gun,1,29,M,Black,0,1,0,0,0,0,Portsmouth,VA,TRUE,1,attack,1,Car,1,FALSE,0
